		LOCAL_DO_POCO_PRODUTOR_OU_INJETOR

number_of_wells:	1

xwell	ywell	Rate(m3/d)	Rw(m)	pwf_ini(kPa)	pwf_f(kPa)	F_pwf	Skin_factor

540.000	540.000	-2500.000	0.076	10000.000	300.000	0.800	0.000
810.000	540.000	-2500.000	0.076	10000.000	300.000	0.800	0.000
270.000	540.000	-2500.000	0.076	10000.000	300.000	0.800	0.000
540.000	810.000	-2500.000	0.076	10000.000	300.000	0.800	0.000
540.000	270.000	-2500.000	0.076	10000.000	300.000	0.800	0.000
270.000	780.000	-2500.000	0.076	10000.000	300.000	0.800	0.000
270.000	270.000	-2500.000	0.076	10000.000	300.000	0.800	0.000
810.000	810.000	-2500.000	0.076	10000.000	300.000	0.800	0.000
810.000	270.000	-2500.000	0.076	10000.000	300.000	0.800	0.000
